Country name,Year,Population growth rate
Afghanistan,1950,1.17
Afghanistan,1951,1.25
Afghanistan,1952,1.27
Afghanistan,1953,1.24
Afghanistan,1954,1.31
Afghanistan,1955,1.41
Afghanistan,1956,1.48
Afghanistan,1957,1.53
Afghanistan,1958,1.46
Afghanistan,1959,1.74
Afghanistan,1960,1.87
Afghanistan,1961,1.98
Afghanistan,1962,2.05
Afghanistan,1963,2.11
Afghanistan,1964,2.17
Afghanistan,1965,2.26
Afghanistan,1966,2.25
Afghanistan,1967,2.34
Afghanistan,1968,2.36
Afghanistan,1969,2.4
Afghanistan,1970,2.47
Afghanistan,1971,2.37
Afghanistan,1972,2.49
Afghanistan,1973,2.56
Afghanistan,1974,2.47
Afghanistan,1975,2.32
Afghanistan,1976,2.04
Afghanistan,1977,2.13
Afghanistan,1978,1.8
Afghanistan,1979,-1.06
Afghanistan,1980,-6.9
Afghanistan,1981,-16.18
Afghanistan,1982,-3.3
Afghanistan,1983,0.59
Afghanistan,1984,5.13
Afghanistan,1985,0.11
Afghanistan,1986,-1.33
Afghanistan,1987,-1.09
Afghanistan,1988,2.25
Afghanistan,1989,3.24
Afghanistan,1990,-2.83
Afghanistan,1991,3.75
Afghanistan,1992,18.48
Afghanistan,1993,11.95
Afghanistan,1994,7.98
Afghanistan,1995,4.23
Afghanistan,1996,3.98
Afghanistan,1997,3.84
Afghanistan,1998,3.92
Afghanistan,1999,4.23
Afghanistan,2000,-1.3
Afghanistan,2001,2.77
Afghanistan,2002,9.9
Afghanistan,2003,5.35
Afghanistan,2004,2.57
Afghanistan,2005,4.55
Afghanistan,2006,3.75
Afghanistan,2007,-0.13
Afghanistan,2008,4.09
Afghanistan,2009,3.05
Afghanistan,2010,2.74
Afghanistan,2011,4.6
Afghanistan,2012,3.57
Afghanistan,2013,3.36
Afghanistan,2014,3.94
Afghanistan,2015,2.33
Afghanistan,2016,2.83
Afghanistan,2017,2.9
Afghanistan,2018,2.87
Afghanistan,2019,2.95
Afghanistan,2020,3.32
Afghanistan,2021,2.4
Africa,1950,2.14
Africa,1951,2.16
Africa,1952,2.19
Africa,1953,2.19
Africa,1954,2.22
Africa,1955,2.25
Africa,1956,2.26
Africa,1957,2.22
Africa,1958,2.18
Africa,1959,2.34
Africa,1960,2.38
Africa,1961,2.41
Africa,1962,2.45
Africa,1963,2.47
Africa,1964,2.51
Africa,1965,2.51
Africa,1966,2.53
Africa,1967,2.56
Africa,1968,2.59
Africa,1969,2.58
Africa,1970,2.62
Africa,1971,2.59
Africa,1972,2.59
Africa,1973,2.68
Africa,1974,2.74
Africa,1975,2.84
Africa,1976,2.84
Africa,1977,2.73
Africa,1978,2.96
Africa,1979,2.9
Africa,1980,2.82
Africa,1981,2.96
Africa,1982,2.96
Africa,1983,2.76
Africa,1984,2.82
Africa,1985,2.83
Africa,1986,2.84
Africa,1987,2.82
Africa,1988,2.69
Africa,1989,2.75
Africa,1990,2.65
Africa,1991,2.57
Africa,1992,2.52
Africa,1993,2.54
Africa,1994,2.44
Africa,1995,2.55
Africa,1996,2.48
Africa,1997,2.43
Africa,1998,2.42
Africa,1999,2.45
Africa,2000,2.46
Africa,2001,2.48
Africa,2002,2.49
Africa,2003,2.5
Africa,2004,2.52
Africa,2005,2.52
Africa,2006,2.55
Africa,2007,2.58
Africa,2008,2.58
Africa,2009,2.58
Africa,2010,2.61
Africa,2011,2.53
Africa,2012,2.6
Africa,2013,2.62
Africa,2014,2.59
Africa,2015,2.6
Africa,2016,2.49
Africa,2017,2.51
Africa,2018,2.48
Africa,2019,2.47
Africa,2020,2.44
Africa,2021,2.35
Albania,1950,2.89
Albania,1951,2.87
Albania,1952,2.91
Albania,1953,3
Albania,1954,3.09
Albania,1955,3.16
Albania,1956,3.19
Albania,1957,3.23
Albania,1958,3.3
Albania,1959,3.34
Albania,1960,3.34
Albania,1961,3.32
Albania,1962,3.26
Albania,1963,3.21
Albania,1964,3.12
Albania,1965,3.02
Albania,1966,2.95
Albania,1967,2.93
Albania,1968,2.9
Albania,1969,2.88
Albania,1970,2.79
Albania,1971,2.73
Albania,1972,2.66
Albania,1973,2.58
Albania,1974,2.51
Albania,1975,2.43
Albania,1976,2.3
Albania,1977,2.16
Albania,1978,2.01
Albania,1979,1.86
Albania,1980,1.76
Albania,1981,1.66
Albania,1982,1.58
Albania,1983,1.47
Albania,1984,1.35
Albania,1985,1.19
Albania,1986,1.03
Albania,1987,0.87
Albania,1988,0.69
Albania,1989,0.48
Albania,1990,0.3
Albania,1991,0.12
Albania,1992,-0.02
Albania,1993,-0.16
Albania,1994,-0.24
Albania,1995,-0.34
Albania,1996,-0.46
Albania,1997,-0.62
Albania,1998,-0.7
Albania,1999,-0.78
Albania,2000,-0.86
Albania,2001,-0.93
Albania,2002,-0.98
Albania,2003,-0.98
Albania,2004,-0.99
Albania,2005,-0.98
Albania,2006,-0.96
Albania,2007,-0.87
Albania,2008,-0.78
Albania,2009,-0.66
Albania,2010,-0.52
Albania,2011,-0.36
Albania,2012,-0.22
Albania,2013,-0.14
Albania,2014,-0.07
Albania,2015,-0.05
Albania,2016,-0.05
Albania,2017,-0.07
Albania,2018,-0.1
Albania,2019,-0.12
Albania,2020,-0.37
Albania,2021,-0.48
Algeria,1950,2.82
Algeria,1951,2.69
Algeria,1952,2.63
Algeria,1953,2.56
Algeria,1954,2.3
Algeria,1955,2.26
Algeria,1956,2.2
Algeria,1957,2.15
Algeria,1958,2.12
Algeria,1959,2.06
Algeria,1960,2.02
Algeria,1961,1.54
Algeria,1962,1.53
Algeria,1963,1.69
Algeria,1964,1.78
Algeria,1965,1.51
Algeria,1966,2.2
Algeria,1967,2.25
Algeria,1968,2.26
Algeria,1969,2.24
Algeria,1970,2.23
